,compound,VAparam,KAparam,rparam,c1param,c0param,D0param,D1param,D2param,D3param,D4param,D5param,D6param,D7param,D8param,D9param
0,Antimycin A,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,19919310043.361637,-0.855865608223371,1.0104833561444647e-30,3.745594299502051e-05,0.0011281670997698044,0.004077894965253362,0.004413580891081488,0.004494930745227115,0.004399450708445944,0.004792487358853098,0.0050804271308441335,0.005381799974978641
1,Azoxystrobin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,18870144550.688213,-0.5655391174178225,1.0104833478607318e-30,9.69503835379129e-09,0.0004309929678758769,0.0003533057220825593,0.0006562087534578174,0.0011170890014042677,0.0019544032681932558,0.0028819850513826235,0.0076089742154090215,0.00940314662199958
2,Capsaicin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,1762627750.0047736,0.9123690397794763,1.0104832482346727e-30,0.003354529435048662,0.002181106354775485,0.006979718610903034,2.8236378481503277e-08,9.294275628303251e-07,0.009993976920837653,518.6614608648051,0.02961778080456992,892.206073833578
3,Carboxine,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,5361446936.92593,0.4652089554766542,1.010483406743034e-30,6.879439253156967e-08,0.0015725975471034136,1.279910457023411e-07,0.0004028733463017903,0.0006567600012911335,0.008361472359165413,0.002470198902128603,0.0034809805531781568,0.005587518746863678
4,Cyazofamid,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,3596794482.747384,0.7497149453658821,1.0104832761753386e-30,4.807678115447145e-08,0.00011908239583177016,2.299545958941131e-06,0.004443638043109781,0.0021883403323850856,0.00011372045397953818,0.005638553496612306,0.011834963105745203,253.7304472445995
5,Deguelin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,17783858108.10118,-0.5564425090097644,1.010483274755324e-30,3.1294386827261795e-08,2.981516252021112e-07,0.0009066137588490799,0.0037373955282607265,0.007354925039206286,0.00841415089401834,0.00903182206288187,0.009308602492765135,0.009210758807380396
6,Fenamidone,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,34965403026.244156,-1.9174463695987285,1.0104832494888013e-30,3.86170966840934e-05,1.474927776430399e-07,0.00029199009803508217,0.00016236324151824497,0.00011802118915756037,0.00034912067936821546,0.0009352315451901422,0.002402267397468607,0.002788822323518103
7,Fenazaquin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,20364822013.56709,-0.7627521924165961,1.0104832796444078e-30,0.000349943221630791,0.0003760300859270894,0.0003627794285179186,0.0006344264398921012,0.0033507114267801535,0.005148541120862522,0.005977776277741046,0.0066337541260944,0.006856251541065636
8,Fenfuram,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,2440465686.026613,0.7257696585192243,1.0104832605353564e-30,3.8220393379532355e-06,0.005309485116914119,0.018199086836863148,0.019359919071405017,0.006390021617376459,0.0024655438418346087,0.002518632326770803,0.0018058223992950381,0.0006353246335036019
9,Fenpyroximate,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,20670944589.774044,-0.8901847227078326,1.0104833076521877e-30,0.00010746075842742652,0.0010630744878165064,0.0028311845833503884,0.00404741239637647,0.004725354251266654,0.004920566615677498,0.005151918141342797,0.005093441917973533,0.004909142569095218
10,Flutolanil,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,10035475325.306276,0.09247688117864296,1.0104833150113973e-30,3.244070899547672e-08,7.231489878681957e-08,0.0002822670792607239,0.0008103345471834273,2.1527120160815217e-07,0.00044824761975175657,0.0028038797069544555,0.003452411645088881,0.014965768452295315
11,Hydramethylnon,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,615355148131.6445,-52.528859898724306,1.010483301440622e-30,1.632896599843744e-06,1.7744371893508384e-05,1.6734424912879946e-05,1.1488227728144533e-05,4.486467088843923e-05,5.590933911129167e-05,7.253847694814416e-05,7.227454414839708e-05,8.345639752020249e-05
12,Kresoxim-methyl,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,1174803917.3443358,0.8618739850702075,1.0104833390050616e-30,0.02732135126362755,0.0012443470986302939,0.001649151977892218,3.340245464581745e-08,242.13967929797306,2.0176575386070445e-06,1.554379190739731e-06,0.007447035412057307,170.3751071672486
13,Mepronil,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,8573176079.969524,0.060466920500874426,1.0104832827588162e-30,0.0006391110801040741,0.0005903010212849024,0.001151230813433657,5.603450769755479e-08,0.0006753125952381451,0.0009614986777099778,0.0008103716848658611,0.004956000254978286,0.010243988890609087
14,Picostrobin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,22204652137.90107,-0.8720950475601954,1.0104832501368288e-30,1.4462053910131534e-07,4.711936689787424e-08,1.4388336750145353e-06,0.000521290882061024,0.0015673475029903661,0.003649361591678857,0.005209359224570327,0.006044715076127021,0.006250656887217197
15,Pyraclostrobin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,21274528093.143406,-0.9968322883343333,1.0104832223698855e-30,2.454786494804542e-09,6.721084394887182e-09,6.066596318314699e-09,6.668641014959882e-09,0.002520001581208886,0.0037113969998256256,0.0042394504026686914,0.0044324231999155975,0.0042234442815929085
16,Pyridaben,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,18741960699.358288,-0.7411663863118274,1.010483341786277e-30,0.0003382895506811837,0.0013049894509013552,0.0038151864869813068,0.0045492585074966944,0.00523352026015833,0.005534224408463835,0.005945900171704925,0.0061919682560231835,0.006408811340792433
17,Pyrimidifen,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,14785657704.493704,-0.43774116699700877,1.0104832359421643e-30,0.0006315514374175575,0.002377311552711934,0.006035082199737973,0.007071138789408541,0.009209633976455115,0.009773055422225993,0.010081102132950983,0.010146612519157161,0.010035937495964996
18,Rotenone,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,18552032910.249615,-0.6645026626913784,1.0104832770807336e-30,0.00016212657856783715,0.0011322255590420897,0.003928993072211817,0.005732516615050561,0.00698262250826229,0.007294318144924756,0.007559893545310934,0.0072410656287018454,0.00558383253691101
19,Tebufenpyrad,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,25620437592.069927,-1.3423560797722944,1.0104832967877363e-30,3.924051588015135e-08,0.0002180817440660794,0.0006394227198335685,0.0019372052459945843,0.0027679429242673044,0.0030577031311351333,0.003198698691392511,0.0033363303000027928,0.0034135320815828177
20,Thifluzamide,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,27851267118.16085,-1.5909009319161107,1.0104831649881377e-30,0.00013649028406693975,5.544282884682374e-08,2.259606749369292e-05,0.00017995197112176511,7.287826852018564e-05,0.00024329362541423443,0.00024278750058322115,0.0008290275440090919,0.001600385224835358
21,Trifloxystrobin,0.6033033899633639,4.784113447538076e-13,3.4408796675557137e-09,4558795756.692297,0.5584902386409067,1.0104836554426179e-30,3.708137980461721e-07,2.298045333995408e-08,0.0012016462794384693,0.000623705106272518,0.00024308748932918295,0.0003161312547316226,9.148318868642362e-07,0.0005227615765749623,0.022899715501761748
